GT,LNF_code,raw_DE,raw_ENG,1st_tier,2nd_tier,3rd_tier,4th_tier_ENG,empty
1,501,Sommergerste,summer barley,Vegetation,Field crops,SmallGrainCereal,SummerBarley,
2,502,Wintergerste,Winter barley,Vegetation,Field crops,SmallGrainCereal,WinterBarley,
3,504,Hafer,oats,Vegetation,Field crops,SmallGrainCereal,Oat,
4,505,Triticale,triticale,Vegetation,Field crops,SmallGrainCereal,Wheat,
5,506,Mischel Futtergetreide,mixed fodder cereals,Vegetation,Field crops,SmallGrainCereal,Grain,
6,507,Futterweizen gemäss Sortenliste swiss granum,Feed wheat according to the list of varieties swiss granum,Vegetation,Field crops,SmallGrainCereal,Wheat,
7,508,Körnermais,grain maize,Vegetation,Field crops,LargeGrainCereal,Maize,
8,511,"Emmer, Einkorn","wild emmer, einkorn wheat",Vegetation,Field crops,SmallGrainCereal,EinkornWheat,
9,512,Sommerweizen (ohne Futterweizen der Sortenliste swiss granum),summer wheat,Vegetation,Field crops,SmallGrainCereal,SummerWheat,
10,513,Winterweizen (ohne Futterweizen der Sortenliste swiss granum),Winter wheat (without forage wheat of the variety list swiss granum),Vegetation,Field crops,SmallGrainCereal,WinterWheat,
11,514,Roggen,rye,Vegetation,Field crops,SmallGrainCereal,Rye,
12,515,Mischel Brotgetreide,mixed cereals for bread production,Vegetation,Field crops,SmallGrainCereal,Grain,
13,516,Dinkel,Spelt,Vegetation,Field crops,SmallGrainCereal,Spelt,
14,519,Saatmais (Vertragsanbau),maize for seed production (by contract),Vegetation,Field crops,LargeGrainCereal,Maize,
15,521,Silo- und Grünmais,Mads d'ensilage et mads vert,Vegetation,Field crops,LargeGrainCereal,Maize,
16,522,Zuckerrüben,Sugar beets,Vegetation,Field crops,BroadLeafRowCrop,Sugar_beets,
17,523,Futterrüben,fodder beet,Vegetation,Field crops,BroadLeafRowCrop,Beets,
18,524,Kartoffeln,potatoes,Vegetation,Field crops,BroadLeafRowCrop,Potatoes,
19,525,Pflanzkartoffeln (Vertragsanbau),potatoes for planting (by contract),Vegetation,Field crops,BroadLeafRowCrop,Potatoes,
20,526,Sommerraps zur Speiseölgewinnung,summer rapeseed for oil production,Vegetation,Field crops,BroadLeafRowCrop,SummerRapeseed,
21,527,Winterraps zur Speiseölgewinnung,Winter rape for cooking oil,Vegetation,Field crops,BroadLeafRowCrop,WinterRapeseed,
22,528,Soja,soy,Vegetation,Field crops,BroadLeafRowCrop,Soy,
23,531,Sonnenblumen zur Speiseölgewinnung,Sunflowers,Vegetation,Field crops,BroadLeafRowCrop,Sunflowers,
24,534,Lein,flax,Vegetation,Field crops,BroadLeafRowCrop,Linen,
25,535,Hanf,hemp,Vegetation,Field crops,BroadLeafRowCrop,Hemp,
26,536,Ackerbohnen zu Futterzwecken,Field beans for animal feed,Vegetation,Field crops,BroadLeafRowCrop,Field bean,
27,537,Eiweisserbsen zu Futterzwecken,protein peas for animal fodder,Vegetation,Field crops,BroadLeafRowCrop,Peas,
28,538,Lupinen zu Futterzwecken,lupine for fodder,Vegetation,Field crops,BroadLeafRowCrop,Lupine,
29,539,Ölkürbisse,oil pumpkins,Vegetation,Field crops,VegetableCrop,Pumpkin,
30,541,Tabak,tobacco,Vegetation,Field crops,BroadLeafRowCrop,Tobacco,
31,542,Hirse,millet,Vegetation,Field crops,LargeGrainCereal,Sorghum,
32,543,Getreide siliert,Ensiled grain,Vegetation,Field crops,SmallGrainCereal,Grain,
33,544,Leindotter,false flax (camelina sativa),Vegetation,Field crops,BroadLeafRowCrop,Linen,
34,545,"Einjährige Freilandgemüse, ohne Konservengemüse","Annual free-range vegetables, without canned vegetables",Vegetation,Field crops,VegetableCrop,Vegetables,
